fiscal_year,category,value,unit,note
2023-24,Number of Stations,7461,value in absolute number,
2022-23,Number of Stations,7364,value in absolute number,
2021-22,Number of Stations,7308,value in absolute number,
2020-21,Number of Stations,7337,value in absolute number,
2019-20,Number of Stations,7325,value in absolute number,
2018-19,Number of Stations,7321,value in absolute number,
2017-18,Number of Stations,7318,value in absolute number,
2016-17,Number of Stations,7309,value in absolute number,
2015-16,Number of Stations,7216,value in absolute number,
2014-15,Number of Stations,7137,value in absolute number,
2013-14,Number of Stations,7112,value in absolute number,
2012-13,Number of Stations,7172,value in absolute number,
2010-11,Number of Stations,7133,value in absolute number,
2000-01,Number of Stations,6843,value in absolute number,
1990-91,Number of Stations,7100,value in absolute number,
1980-81,Number of Stations,7035,value in absolute number,
1970-71,Number of Stations,7066,value in absolute number,
1960-61,Number of Stations,6523,value in absolute number,
1950-51,Number of Stations,5976,value in absolute number,
